Filename	True Label	Prediction
1091_0000027	2.0	1.0
1091_0000030	1.0	1.0
1091_0000035	1.0	1.0
1091_0000042	0.0	1.0
1091_0000043	1.0	1.0
1091_0000050	1.0	1.0
1091_0000054	1.0	1.0
1091_0000071	2.0	2.0
1091_0000116	2.0	2.0
1091_0000146	1.0	1.0
1091_0000151	1.0	1.0
1091_0000153	2.0	2.0
1091_0000155	2.0	3.0
1091_0000158	2.0	2.0
1091_0000159	2.0	2.0
1091_0000164	1.0	1.0
1091_0000165	1.0	2.0
1091_0000168	2.0	2.0
1091_0000172	2.0	1.0
1091_0000190	1.0	2.0
1091_0000195	1.0	1.0
1091_0000197	2.0	2.0
1091_0000204	1.0	2.0
1091_0000206	1.0	1.0
1091_0000207	2.0	2.0
1091_0000211	2.0	2.0
1091_0000213	1.0	1.0
1091_0000214	1.0	1.0
1091_0000215	2.0	2.0
1091_0000217	1.0	1.0
1091_0000218	1.0	2.0
1091_0000224	1.0	1.0
1091_0000233	1.0	2.0
1091_0000237	2.0	2.0
1091_0000248	1.0	1.0
1091_0000251	2.0	2.0
1091_0000252	2.0	2.0
1091_0000258	2.0	2.0
1091_0000262	1.0	2.0
1091_0000263	2.0	2.0
1091_0000264	1.0	2.0
1091_0000269	2.0	2.0
1091_0000272	1.0	2.0
1091_0000275	1.0	2.0
0611	2.0	1.0
0613	1.0	1.0
0623	1.0	2.0
0625	1.0	1.0
0633	2.0	2.0
0642	1.0	2.0
0644	1.0	2.0
0714	2.0	2.0
0715	2.0	2.0
0716	2.0	2.0
0719	2.0	1.0
0723	1.0	2.0
0802	1.0	1.0
0812	1.0	1.0
0813	1.0	1.0
0816	2.0	2.0
0825	1.0	2.0
0827	1.0	1.0
0924	1.0	1.0
0930	1.0	2.0
1003	1.0	1.0
1005	1.0	1.0
1014	2.0	2.0
1022	2.0	1.0
1023	1.0	2.0
BER0609003	2.0	2.0
LIB0611004A	1.0	1.0
MOS0509004	2.0	1.0
MOS0611015	2.0	3.0
PAR1011008A	1.0	1.0
PAR1011009A	1.0	2.0
PAR1011013	2.0	2.0
PAR1011014	2.0	3.0
PAR1011015	2.0	2.0
PAR1011016	3.0	3.0
PHA0111001A	1.0	1.0
PHA0111014	1.0	2.0
PHA0112003A	1.0	1.0
PHA0112003B	1.0	1.0
PHA0112006A	2.0	2.0
PHA0112006B	2.0	2.0
PHA0112009A	2.0	1.0
PHA0209013	1.0	1.0
PHA0209026	3.0	3.0
PHA0209034	2.0	2.0
PHA0209038	3.0	3.0
PHA0411008A	1.0	1.0
PHA0411011B	1.0	1.0
PHA0411012A	1.0	1.0
PHA0411030	3.0	3.0
PHA0411033	2.0	2.0
PHA0411036	3.0	2.0
PHA0411042	2.0	3.0
PHA0411045	2.0	2.0
PHA0411056	3.0	3.0
PHA0509017	2.0	3.0
PHA0509018	3.0	3.0
PHA0509019	2.0	2.0
PHA0509020	3.0	3.0
PHA0509022	3.0	3.0
PHA0509031	2.0	2.0
PHA0509044	2.0	3.0
PHA0510002A	1.0	1.0
PHA0510003A	1.0	1.0
PHA0510013B	1.0	1.0
PHA0510035	3.0	3.0
PHA0610005B	1.0	1.0
PHA0610006A	1.0	1.0
PHA0610017	3.0	3.0
PHA0710019	3.0	3.0
PHA0809010	2.0	2.0
PHA0810006	2.0	2.0
PHA0810008	2.0	3.0
PHA0811010	2.0	2.0
PHA0811014	2.0	2.0
PHA1109002	3.0	3.0
PHA1109007	2.0	2.0
PHA1110001A	1.0	1.0
PHA1110004A	1.0	1.0
PHA1111002A	1.0	1.0
PHA1111003A	1.0	1.0
PHA1111004B	1.0	1.0
PHA1111008B	1.0	1.0
VAR0909005	2.0	2.0
VAR0909008	2.0	2.0
VAR0909009	3.0	3.0
1325_1001014	2.0	2.0
1325_1001018	2.0	2.0
1325_1001024	2.0	2.0
1325_1001025	2.0	2.0
1325_1001035	2.0	2.0
1325_1001036	2.0	2.0
1325_1001040	2.0	2.0
1325_1001051	2.0	2.0
1325_1001057	2.0	2.0
1325_1001063	2.0	2.0
1325_1001075	1.0	2.0
1325_1001084	2.0	2.0
1325_1001085	2.0	2.0
1325_1001091	2.0	2.0
1325_1001093	2.0	2.0
1325_1001096	2.0	2.0
1325_1001123	2.0	2.0
1325_1001125	2.0	2.0
1325_1001127	2.0	2.0
1325_1001129	1.0	2.0
1325_1001134	2.0	2.0
1325_1001141	1.0	2.0
1325_1001159	2.0	2.0
1325_1001160	2.0	2.0
1325_1001162	2.0	2.0
1325_1001167	2.0	2.0
1325_1001170	2.0	2.0
1325_9000088	2.0	2.0
1325_9000089	2.0	2.0
1325_9000095	2.0	2.0
1325_9000105	2.0	2.0
1325_9000106	2.0	2.0
1325_9000137	2.0	2.0
1325_9000140	2.0	2.0
1325_9000211	2.0	2.0
1325_9000213	2.0	2.0
1325_9000214	2.0	2.0
1325_9000240	2.0	2.0
1325_9000296	2.0	2.0
1325_9000315	1.0	2.0
1325_9000316	2.0	2.0
1325_9000323	2.0	2.0
1325_9000505	2.0	2.0
1325_9000554	2.0	2.0
1325_9000675	2.0	2.0
1365_0100003	1.0	1.0
1365_0100004	1.0	2.0
1365_0100008	1.0	2.0
1365_0100009	1.0	1.0
1365_0100011	2.0	2.0
1365_0100014	2.0	2.0
1365_0100016	2.0	2.0
1365_0100017	2.0	2.0
1365_0100021	2.0	2.0
1365_0100024	1.0	2.0
1365_0100061	2.0	2.0
1365_0100065	1.0	2.0
1365_0100071	2.0	2.0
1365_0100079	2.0	2.0
1365_0100095	2.0	2.0
1365_0100096	2.0	2.0
1365_0100104	1.0	2.0
1365_0100106	1.0	2.0
1365_0100133	2.0	2.0
1365_0100139	2.0	2.0
1365_0100145	2.0	2.0
1365_0100169	2.0	2.0
1365_0100170	1.0	2.0
1365_0100191	1.0	2.0
1365_0100195	1.0	1.0
1365_0100196	1.0	2.0
1365_0100201	2.0	2.0
1365_0100202	1.0	2.0
1365_0100217	2.0	2.0
1365_0100226	2.0	2.0
1365_0100251	2.0	2.0
1365_0100255	1.0	2.0
1365_0100265	2.0	2.0
1365_0100270	2.0	2.0
1365_0100275	2.0	2.0
1365_0100277	2.0	2.0
1365_0100286	1.0	2.0
1365_0100447	2.0	2.0
1365_0100457	2.0	2.0
1365_0100458	2.0	2.0
1365_0100461	2.0	2.0
1365_0100477	1.0	2.0
1365_0100481	2.0	2.0
1385_0000021	1.0	1.0
1385_0000033	1.0	1.0
1385_0000039	1.0	1.0
1385_0000051	1.0	1.0
1385_0000057	1.0	1.0
1385_0000098	1.0	1.0
1385_0000101	1.0	1.0
1385_0000120	0.0	1.0
1385_0000127	1.0	1.0
1385_0000130	1.0	1.0
1385_0001111	1.0	1.0
1385_0001126	0.0	1.0
1385_0001130	1.0	1.0
1385_0001132	1.0	1.0
1385_0001149	1.0	1.0
1385_0001153	2.0	2.0
1385_0001158	1.0	1.0
1385_0001160	1.0	2.0
1385_0001161	1.0	1.0
1385_0001164	1.0	1.0
1385_0001178	0.0	1.0
1385_0001190	1.0	1.0
1385_0001522	1.0	1.0
1385_0001526	0.0	1.0
1385_0001712	1.0	2.0
1385_0001715	1.0	1.0
1385_0001730	2.0	1.0
1385_0001737	1.0	1.0
1385_0001742	0.0	0.0
1385_0001759	1.0	1.0
1385_0001766	1.0	2.0
1385_0001787	1.0	1.0
1385_0001789	1.0	1.0
1385_0001792	1.0	1.0
1395_0000353	1.0	1.0
1395_0000365	2.0	2.0
1395_0000366	2.0	1.0
1395_0000387	2.0	2.0
1395_0000388	2.0	2.0
1395_0000390	1.0	1.0
1395_0000403	1.0	1.0
1395_0000413	1.0	2.0
1395_0000449	2.0	2.0
1395_0000451	1.0	1.0
1395_0000452	1.0	1.0
1395_0000462	2.0	1.0
1395_0000512	1.0	1.0
1395_0000528	2.0	1.0
1395_0000552	1.0	2.0
1395_0000555	1.0	1.0
1395_0000564	1.0	1.0
1395_0000572	1.0	1.0
1395_0000597	1.0	1.0
1395_0000606	1.0	1.0
1395_0000607	1.0	1.0
1395_0000610	1.0	1.0
1395_0000636	1.0	1.0
1395_0000642	1.0	1.0
1395_0001010	2.0	1.0
1395_0001015	1.0	1.0
1395_0001023	1.0	1.0
1395_0001058	1.0	1.0
1395_0001070	2.0	2.0
1395_0001078	1.0	1.0
1395_0001080	1.0	1.0
1395_0001101	1.0	1.0
1395_0001103	1.0	1.0
1395_0001119	2.0	2.0
1395_0001141	1.0	1.0
1395_0001145	2.0	2.0
1395_0001171	1.0	1.0
1023_0001420	3.0	3.0
1023_0101683	3.0	2.0
1023_0101689	2.0	2.0
1023_0101690	2.0	2.0
1023_0101691	3.0	3.0
1023_0101693	3.0	3.0
1023_0101749	3.0	3.0
1023_0101847	3.0	3.0
1023_0101851	3.0	3.0
1023_0101893	3.0	3.0
1023_0101894	2.0	3.0
1023_0101907	3.0	3.0
1023_0103821	3.0	3.0
1023_0103823	3.0	3.0
1023_0103824	3.0	3.0
1023_0103830	3.0	3.0
1023_0103831	3.0	3.0
1023_0103839	3.0	3.0
1023_0107075	2.0	3.0
1023_0107682	2.0	2.0
1023_0107725	2.0	3.0
1023_0107729	3.0	3.0
1023_0107784	2.0	2.0
1023_0107787	2.0	2.0
1023_0108423	3.0	2.0
1023_0108426	2.0	3.0
1023_0108641	4.0	3.0
1023_0108815	3.0	3.0
1023_0108889	3.0	3.0
1023_0108931	3.0	3.0
1023_0108935	2.0	3.0
1023_0109248	2.0	3.0
1023_0109249	3.0	3.0
1023_0109267	2.0	3.0
1023_0109399	2.0	3.0
1023_0109495	3.0	3.0
1023_0109500	2.0	3.0
1023_0109516	3.0	3.0
1023_0109614	2.0	2.0
1023_0109717	3.0	3.0
1023_0109890	3.0	3.0
1023_0109891	3.0	3.0
1023_0109947	2.0	3.0
1023_0109951	2.0	3.0
1031_0001949	3.0	3.0
1031_0002003	3.0	3.0
1031_0002005	3.0	3.0
1031_0002032	3.0	3.0
1031_0002040	4.0	3.0
1031_0002043	4.0	3.0
1031_0002084	3.0	3.0
1031_0002089	3.0	3.0
1031_0002195	3.0	3.0
1031_0003029	3.0	3.0
1031_0003063	4.0	3.0
1031_0003065	3.0	3.0
1031_0003071	3.0	3.0
1031_0003072	3.0	3.0
1031_0003078	3.0	3.0
1031_0003092	2.0	3.0
1031_0003098	4.0	3.0
1031_0003099	3.0	3.0
1031_0003128	4.0	3.0
1031_0003131	3.0	3.0
1031_0003136	4.0	3.0
1031_0003155	3.0	3.0
1031_0003163	3.0	3.0
1031_0003182	4.0	3.0
1031_0003186	3.0	3.0
1031_0003211	2.0	3.0
1031_0003212	2.0	3.0
1031_0003221	2.0	3.0
1031_0003238	3.0	3.0
1031_0003245	3.0	3.0
1031_0003310	3.0	3.0
1031_0003338	3.0	3.0
1031_0003367	3.0	3.0
1031_0003384	2.0	2.0
1031_0003387	3.0	3.0
1031_0003393	3.0	3.0
1031_0003414	3.0	3.0
1061_0012029	3.0	2.0
1061_0120274	1.0	1.0
1061_0120275	2.0	2.0
1061_0120276	2.0	2.0
1061_0120277	1.0	1.0
1061_0120279	1.0	1.0
1061_0120280	1.0	1.0
1061_0120285	1.0	2.0
1061_0120290	1.0	2.0
1061_0120312	1.0	1.0
1061_0120327	2.0	3.0
1061_0120334	2.0	2.0
1061_0120335	2.0	3.0
1061_0120343	2.0	2.0
1061_0120347	1.0	2.0
1061_0120352	1.0	1.0
1061_0120354	1.0	1.0
1061_0120355	1.0	1.0
1061_0120358	1.0	1.0
1061_0120359	1.0	2.0
1061_0120366	3.0	3.0
1061_0120374	2.0	2.0
1061_0120388	1.0	2.0
1061_0120410	2.0	2.0
1061_0120421	2.0	3.0
1061_0120438	2.0	3.0
1061_0120443	0.0	1.0
1061_0120449	2.0	2.0
1061_0120457	2.0	2.0
1061_0120458	3.0	3.0
1061_0120486	2.0	2.0
1061_0120492	2.0	3.0
1061_0120494	2.0	2.0
1061_0120495	2.0	2.0
1061_0120497	3.0	3.0
1061_0120498	2.0	2.0
1061_0120500	2.0	2.0
1061_0120858	2.0	2.0
1061_0120874	2.0	2.0
1061_0120880	3.0	3.0
1061_0120887	1.0	2.0
1061_1029111	2.0	2.0
1061_1029114	1.0	1.0
1061_1029116	1.0	2.0
1061_1202912	2.0	2.0
1071_0020001	1.0	1.0
1071_0024683	0.0	1.0
1071_0024689	1.0	1.0
1071_0024702	1.0	2.0
1071_0024709	2.0	2.0
1071_0024759	0.0	1.0
1071_0024775	0.0	1.0
1071_0024777	1.0	1.0
1071_0024778	0.0	1.0
1071_0024783	0.0	0.0
1071_0024799	2.0	2.0
1071_0024810	1.0	1.0
1071_0024819	1.0	1.0
1071_0024820	0.0	1.0
1071_0024821	1.0	1.0
1071_0024822	0.0	1.0
1071_0024823	1.0	1.0
1071_0024827	1.0	1.0
1071_0024837	0.0	1.0
1071_0024852	0.0	1.0
1071_0024860	1.0	1.0
1071_0024866	2.0	2.0
1071_0024871	1.0	1.0
1071_0241831	1.0	2.0
1071_0242021	1.0	1.0
1071_0242091	1.0	0.0
1071_0243501	1.0	1.0
1071_0248304	1.0	1.0
1071_0248316	1.0	1.0
1071_0248318	0.0	0.0
1071_0248319	0.0	1.0
1071_0248322	1.0	1.0
1071_0248339	1.0	1.0
1071_0248343	1.0	1.0
1071_0248345	1.0	2.0
1091_0000004	1.0	1.0
1091_0000007	2.0	2.0
1091_0000012	1.0	1.0
1091_0000025	1.0	0.0
1091_0000031	1.0	1.0
1091_0000038	1.0	1.0
1091_0000044	1.0	2.0
1091_0000053	1.0	2.0
1091_0000055	2.0	2.0
1091_0000062	1.0	1.0
1091_0000068	2.0	2.0
1091_0000073	1.0	1.0
1091_0000075	2.0	2.0
1091_0000076	3.0	2.0
1091_0000078	1.0	1.0
1091_0000079	2.0	2.0
1091_0000102	1.0	1.0
1091_0000113	2.0	2.0
1091_0000123	2.0	2.0
1091_0000144	1.0	0.0
1091_0000145	1.0	1.0
1091_0000185	1.0	1.0
1091_0000191	2.0	1.0
1091_0000193	1.0	1.0
1091_0000208	2.0	1.0
1091_0000209	1.0	1.0
1091_0000210	1.0	1.0
1091_0000216	2.0	2.0
1091_0000225	1.0	1.0
1091_0000227	1.0	2.0
1091_0000229	2.0	2.0
1091_0000238	1.0	2.0
1091_0000240	1.0	1.0
1091_0000241	1.0	1.0
1091_0000254	1.0	1.0
1091_0000255	1.0	1.0
1091_0000260	2.0	2.0
1091_0000266	2.0	2.0
1091_0000274	2.0	2.0
0608	1.0	1.0
0610	1.0	2.0
0615	1.0	1.0
0618	1.0	1.0
0619	2.0	1.0
0622	1.0	1.0
0624	2.0	2.0
0627	2.0	2.0
0804	1.0	1.0
0806	1.0	2.0
0808	1.0	2.0
0809	2.0	2.0
0818	1.0	1.0
0819	3.0	2.0
0823	2.0	2.0
0824	1.0	1.0
0826	1.0	1.0
0828	2.0	2.0
0901	2.0	2.0
0906	2.0	2.0
0922	1.0	1.0
0923	2.0	2.0
0928	2.0	2.0
1001	1.0	1.0
1002	2.0	1.0
1007	2.0	2.0
1010	1.0	1.0
1117	1.0	1.0
BER0611007	2.0	2.0
KYJ0611005A	1.0	1.0
KYJ0611006A	1.0	1.0
KYJ0611006B	1.0	1.0
LIB0611001B	1.0	1.0
MOS0509001	2.0	2.0
PHA0111001B	1.0	1.0
PHA0111004B	1.0	1.0
PHA0111005A	1.0	1.0
PHA0111005B	1.0	1.0
PHA0111015	3.0	3.0
PHA0111016	3.0	3.0
PHA0112009B	2.0	1.0
PHA0112012B	1.0	2.0
PHA0209028	2.0	2.0
PHA0210007	1.0	1.0
PHA0411010B	1.0	1.0
PHA0411011A	1.0	1.0
PHA0411012B	1.0	1.0
PHA0411032	2.0	3.0
PHA0411037	2.0	2.0
PHA0411039	2.0	3.0
PHA0411043	2.0	2.0
PHA0411044	3.0	3.0
PHA0411055	3.0	3.0
PHA0411060	2.0	3.0
PHA0411061	3.0	3.0
PHA0509007	1.0	1.0
PHA0509025	3.0	3.0
PHA0509026	3.0	3.0
PHA0509027	2.0	2.0
PHA0509034	2.0	3.0
PHA0509036	3.0	3.0
PHA0509039	3.0	3.0
PHA0509042	3.0	3.0
PHA0510002B	1.0	1.0
PHA0510003B	1.0	1.0
PHA0510023	3.0	3.0
PHA0510030	2.0	3.0
PHA0510036	3.0	3.0
PHA0510046	2.0	2.0
PHA0510050	2.0	3.0
PHA0610005A	1.0	1.0
PHA0610019A	1.0	1.0
PHA0709008	3.0	3.0
PHA0710011	3.0	3.0
PHA0710016	3.0	2.0
PHA0809009	2.0	2.0
PHA0810003	2.0	3.0
PHA0810004	2.0	2.0
PHA0810015	3.0	3.0
PHA1110002B	2.0	1.0
PHA1110015	3.0	3.0
PHA1110021	2.0	2.0
PHA1111001B	1.0	1.0
VAR0909007	2.0	2.0
1325_1001013	2.0	2.0
1325_1001017	2.0	2.0
1325_1001019	2.0	2.0
1325_1001032	2.0	2.0
1325_1001033	2.0	2.0
1325_1001037	2.0	2.0
1325_1001043	2.0	2.0
1325_1001044	2.0	2.0
1325_1001048	2.0	2.0
1325_1001055	2.0	2.0
1325_1001080	2.0	2.0
1325_1001086	2.0	2.0
1325_1001088	2.0	2.0
1325_1001092	2.0	2.0
1325_1001100	2.0	2.0
1325_1001108	2.0	2.0
1325_1001121	2.0	2.0
1325_1001124	2.0	2.0
1325_1001126	2.0	2.0
1325_1001128	2.0	2.0
1325_1001131	2.0	2.0
1325_1001139	2.0	2.0
1325_1001142	2.0	2.0
1325_1001156	2.0	2.0
1325_1001163	2.0	2.0
1325_1001164	2.0	2.0
1325_1001165	2.0	2.0
1325_9000059	2.0	2.0
1325_9000090	2.0	2.0
1325_9000102	2.0	2.0
1325_9000144	2.0	2.0
1325_9000186	2.0	2.0
1325_9000187	2.0	2.0
1325_9000210	1.0	2.0
1325_9000302	2.0	2.0
1325_9000318	2.0	2.0
1325_9000319	2.0	2.0
1325_9000678	2.0	2.0
1325_9000750	2.0	2.0
1365_0100005	1.0	2.0
1365_0100015	1.0	1.0
1365_0100018	1.0	2.0
1365_0100023	1.0	2.0
1365_0100029	1.0	1.0
1365_0100031	2.0	2.0
1365_0100066	1.0	2.0
1365_0100067	1.0	2.0
1365_0100073	2.0	2.0
1365_0100098	1.0	2.0
1365_0100107	2.0	2.0
1365_0100136	2.0	2.0
1365_0100146	2.0	2.0
1365_0100147	2.0	2.0
1365_0100148	2.0	2.0
1365_0100162	2.0	2.0
1365_0100168	2.0	2.0
1365_0100177	2.0	2.0
1365_0100179	2.0	2.0
1365_0100183	2.0	2.0
1365_0100187	2.0	2.0
1365_0100203	2.0	2.0
1365_0100223	2.0	2.0
1365_0100224	2.0	2.0
1365_0100229	2.0	2.0
1365_0100230	2.0	2.0
1365_0100252	2.0	2.0
1365_0100259	2.0	2.0
1365_0100260	2.0	2.0
1365_0100263	2.0	2.0
1365_0100266	2.0	2.0
1365_0100267	2.0	2.0
1365_0100269	2.0	2.0
1365_0100278	2.0	2.0
1365_0100279	2.0	2.0
1365_0100280	1.0	1.0
1365_0100282	2.0	2.0
1365_0100285	2.0	2.0
1365_0100290	2.0	2.0
1365_0100451	2.0	2.0
1365_0100456	2.0	2.0
1365_0100470	2.0	2.0
1365_0100471	1.0	2.0
1365_0100472	2.0	2.0
1365_0100473	2.0	2.0
1365_0100480	2.0	2.0
1385_0000016	1.0	1.0
1385_0000023	1.0	1.0
1385_0000036	1.0	1.0
1385_0000040	1.0	1.0
1385_0000042	1.0	1.0
1385_0000043	1.0	1.0
1385_0000044	1.0	1.0
1385_0000054	1.0	1.0
1385_0000099	1.0	1.0
1385_0000125	1.0	1.0
1385_0000126	1.0	1.0
1385_0001105	1.0	1.0
1385_0001109	1.0	1.0
1385_0001110	1.0	1.0
1385_0001118	1.0	1.0
1385_0001124	1.0	1.0
1385_0001127	1.0	1.0
1385_0001131	1.0	1.0
1385_0001138	1.0	1.0
1385_0001154	1.0	1.0
1385_0001167	1.0	1.0
1385_0001171	1.0	1.0
1385_0001191	1.0	1.0
1385_0001195	1.0	2.0
1385_0001197	1.0	1.0
1385_0001524	1.0	1.0
1385_0001527	1.0	1.0
1385_0001716	1.0	1.0
1385_0001719	1.0	1.0
1385_0001725	1.0	1.0
1385_0001736	2.0	2.0
1385_0001738	0.0	1.0
1385_0001739	1.0	1.0
1385_0001746	1.0	1.0
1385_0001747	1.0	1.0
1385_0001749	1.0	1.0
1385_0001760	1.0	1.0
1385_0001774	0.0	1.0
1385_0001785	1.0	1.0
1385_0001790	1.0	1.0
1395_0000337	0.0	1.0
1395_0000354	1.0	1.0
1395_0000361	1.0	2.0
1395_0000364	1.0	1.0
1395_0000376	2.0	2.0
1395_0000391	2.0	2.0
1395_0000398	2.0	2.0
1395_0000402	1.0	1.0
1395_0000438	2.0	2.0
1395_0000450	1.0	1.0
1395_0000454	1.0	2.0
1395_0000460	1.0	1.0
1395_0000465	1.0	1.0
1395_0000471	1.0	1.0
1395_0000513	2.0	2.0
1395_0000514	2.0	2.0
1395_0000531	1.0	1.0
1395_0000534	1.0	2.0
1395_0000549	1.0	2.0
1395_0000551	2.0	1.0
1395_0000554	1.0	1.0
1395_0000556	1.0	1.0
1395_0000557	2.0	2.0
1395_0000565	1.0	1.0
1395_0000575	1.0	1.0
1395_0000583	1.0	2.0
1395_0000591	0.0	1.0
1395_0000604	1.0	1.0
1395_0000611	1.0	1.0
1395_0000627	1.0	1.0
1395_0000631	1.0	2.0
1395_0001019	1.0	1.0
1395_0001020	1.0	1.0
1395_0001034	1.0	1.0
1395_0001067	1.0	1.0
1395_0001069	1.0	2.0
1395_0001074	1.0	1.0
1395_0001075	1.0	1.0
1395_0001084	1.0	1.0
1395_0001121	0.0	1.0
1395_0001132	2.0	2.0
1395_0001149	1.0	1.0
1395_0001150	1.0	1.0
1023_0101695	2.0	2.0
1023_0101700	3.0	3.0
1023_0101701	2.0	3.0
1023_0101841	2.0	3.0
1023_0101846	4.0	3.0
1023_0101848	2.0	2.0
1023_0101852	3.0	3.0
1023_0101854	2.0	2.0
1023_0101855	2.0	2.0
1023_0101898	3.0	3.0
1023_0101906	2.0	3.0
1023_0101909	4.0	3.0
1023_0103827	3.0	3.0
1023_0103841	3.0	3.0
1023_0103843	2.0	2.0
1023_0103880	3.0	3.0
1023_0103955	3.0	3.0
1023_0104203	3.0	3.0
1023_0104209	3.0	3.0
1023_0107672	2.0	3.0
1023_0107740	3.0	3.0
1023_0107780	3.0	3.0
1023_0107781	3.0	3.0
1023_0107788	3.0	3.0
1023_0108304	3.0	3.0
1023_0108307	3.0	3.0
1023_0108422	3.0	3.0
1023_0108649	3.0	3.0
1023_0108751	3.0	3.0
1023_0108811	3.0	3.0
1023_0108813	3.0	3.0
1023_0108885	2.0	2.0
1023_0108887	2.0	2.0
1023_0109029	1.0	2.0
1023_0109033	4.0	3.0
1023_0109038	3.0	3.0
1023_0109039	3.0	3.0
1023_0109096	3.0	3.0
